param,index,subindex,name,range,unit,default,rw,type,notes
P09.19,0x2009,0x14,Group 3 notch width class,0~20,-,2,RW,Uint16,
P09.20,0x2009,0x15,Group 3 notch depth rating,0~99,-,0,RW,Uint16,
P09.21,0x2009,0x16,Group 4 notch frequency,50~4000,Hz,4000,RW,Uint16,
P09.22,0x2009,0x17,Group 4 notch width class,0~20,-,2,RW,Uint16,
P09.23,0x2009,0x18,Group 4 notch depth rating,0~99,-,0,RW,Uint16,
P09.24,0x2009,0x19,Resonance frequency identification results,0~2,Hz,0,RO,Uint16,
P09.30,0x2009,0x1F,Torque disturbance compensation gain,0.0~100.0,%,0.0,RW,Uint16,
P09.31,0x2009,0x20,Torque disturbance observer filter time,0.00~25.00,ms,0.50,RW,Uint16,
P09.38,0x2009,0x27,Low frequency resonance frequency,1.0~100.0,Hz,100.0,RW,Uint16,
P09.39,0x2009,0x28,Low frequency resonance frequency filter setting,0~10,-,2,RW,Uint16,
P0A.00,0x200A,0x01,Power input phase loss protection selection,"0=warning only, 1=fault+warning, 2=disabled",-,0,RW,Uint16,
P0A.01,0x200A,0x02,Absolute position limit settings,"0=disabled, 1=enabled, 2=enabled after origin return",-,0,RW,Uint16,Stop setting
P0A.03,0x200A,0x04,Power-off save function enable,"0=no, 1=yes",-,0,RW,Uint16,
P0A.04,0x200A,0x05,Motor overload protection gain,50~300,%,100,RW,Uint16,Stop setting
P0A.08,0x200A,0x09,Overspeed fault threshold,"0=max×1.2; 1~10000=specific rpm",-,0,RW,Uint16,
P0A.12,0x200A,0x0D,Overrun protection enabled,"0=disabled, 1=enabled",-,1,RW,Uint16,
P0A.16,0x200A,0x11,Low freq resonance position deviation threshold,1~1000,encoder unit,5,RW,Uint16,
P0A.25,0x200A,0x1A,Speed feedback display filter time,0~5000,ms,50,RW,Uint16,Stop setting
P0A.26,0x200A,0x1B,Motor overload shield enable,"0=detect, 1=shield",-,0,RW,Uint16,Stop setting
P0A.27,0x200A,0x1C,Speed DO filter time constant,0~5000,ms,10,RW,Uint16,Stop setting
P0A.28,0x200A,0x1D,Quadrature encoder filter time constant,0~255,×25ns,30,RW,Uint16,Restart required
P0A.32,0x200A,0x21,Locked rotor over-temperature time window,10~65535,ms,200,RW,Uint16,
P0A.33,0x200A,0x22,Stalled rotor over-temperature protection enabled,"0=disabled, 1=enabled",-,1,RW,Uint16,
P0A.36,0x200A,0x25,Encoder multi-turn overflow fault selection,"0=no shield, 1=shield",-,0,RW,Uint16,Stop setting
P0B.00,0x200B,0x01,Actual motor speed,-,rpm,-,RO,Int16,Monitoring; rounded to 1rpm
P0B.01,0x200B,0x02,Speed command,-,rpm,-,RO,Int16,Monitoring
P0B.02,0x200B,0x03,Internal torque command,-,%,-,RO,Int16,Monitoring; % of rated torque
P0B.03,0x200B,0x04,DI signal monitoring,-,-,-,RO,Int16,Monitoring
P0B.05,0x200B,0x06,DO signal monitoring,-,-,-,RO,Int16,Monitoring
P0B.07,0x200B,0x08,Absolute position counter 32-bit,-,command unit,-,RO,Int32,Monitoring
P0B.13,0x200B,0x0E,Input position command count,-,command unit,-,RO,Int32,Monitoring
P0B.15,0x200B,0x10,Encoder position deviation value,-,encoder unit,-,RO,Int32,Monitoring
P0B.17,0x200B,0x12,Feedback pulse counter,-,encoder unit,-,RO,Int32,Monitoring; confirmed 200B:12h in manual
P0B.24,0x200B,0x19,Phase current rms value,-,A,-,RO,Uint16,Monitoring
P0B.26,0x200B,0x1B,Bus voltage value,-,V,-,RO,Uint16,Monitoring
P0B.33,0x200B,0x22,Fault recording (select index),"0=current, 1=last, ..., 9=last 9",-,-,RO,Uint16,Monitoring
P0B.34,0x200B,0x23,Fault code at selected fault,-,-,-,RO,Uint16,Monitoring
P0B.35,0x200B,0x24,Fault timestamp,-,s,-,RO,Int32,Monitoring
P0B.37,0x200B,0x26,Motor speed at selected fault,-,rpm,-,RO,Int16,Monitoring
P0B.38,0x200B,0x27,Motor U-phase current at fault,-,A,-,RO,Int16,Monitoring
P0B.39,0x200B,0x28,Motor V-phase current at fault,-,A,-,RO,Int16,Monitoring
P0B.40,0x200B,0x29,Bus voltage at fault,-,V,-,RO,Uint16,Monitoring
P0B.53,0x200B,0x36,Position deviation counter,-,command unit,-,RO,Int32,Monitoring
P0B.55,0x200B,0x38,Actual motor speed (0.1rpm resolution),-,rpm,-,RO,Int32,Monitoring
P0B.57,0x200B,0x3A,Control power bus voltage,-,-,-,RO,Uint16,Monitoring
P0B.58,0x200B,0x3B,Mechanical absolute position low 32-bit,-,encoder unit,-,RO,Int32,Monitoring
P0B.60,0x200B,0x3D,Mechanical absolute position high 32-bit,-,encoder unit,-,RO,Int32,Monitoring
P0B.64,0x200B,0x41,Input position instruction count (before gear ratio),-,command unit,-,RO,Int32,Monitoring
P0B.70,0x200B,0x47,Absolute encoder rotation number,-,r,-,RO,Uint16,Monitoring
P0B.71,0x200B,0x48,Absolute encoder position within 1 turn,-,encoder unit,-,RO,Int32,Monitoring
P0B.77,0x200B,0x4E,Absolute encoder position low 32-bit,-,encoder unit,-,RO,Int32,Monitoring
P0B.79,0x200B,0x50,Absolute encoder position high 32-bit,-,encoder unit,-,RO,Int32,Monitoring
P0C.00,0x200C,0x01,Drive address,1~247,-,1,RW,Uint16,
P0C.02,0x200C,0x03,Serial port baud rate,"0=2400, 1=4800, 2=9600, 3=19200, 4=38400, 5=57600",-,5,RW,Uint16,
P0C.03,0x200C,0x04,MODBUS data format,"0=no parity 2 stop, 1=even 1 stop, 2=odd 1 stop, 3=no parity 1 stop",-,0,RW,Uint16,
P0C.05,0x200C,0x06,EtherCAT station alias,-,-,0,RW,Uint16,Stop setting
P0C.13,0x200C,0x0E,Save to EEPROM,"0=no save, 1=save 2000h series, 2=save 6000h series, 3=save both",-,0,RW,Uint16,Write to persist SDO changes across power cycle
P0C.35,0x200C,0x24,EtherCAT sync interrupt lost disallowed times,4~20,×1ms,9,RW,Uint16,
P0C.36,0x200C,0x25,Port0 CRC check error count,-,-,0,RO,Uint16,
P0C.37,0x200C,0x26,Port1 CRC check error count,-,-,0,RO,Uint16,
P0C.40,0x200C,0x29,Port 0/1 link lost count,-,-,0,RO,Uint16,
P0C.42,0x200C,0x2B,Synchronization error monitoring mode,0~1,-,0,RW,Uint16,Stop setting
P0C.43,0x200C,0x2C,Sync mode settings,"0=async, 1=sync mode 1 (≤1us jitter), 2=sync mode 2 (>1us jitter)",-,2,RW,Uint16,Stop setting
P0C.44,0x200C,0x2D,Synchronization error threshold,0~2000,nm,500,RW,Uint16,Stop setting; active when P0C.43=1
P0C.45,0x200C,0x2E,Location cache settings,"0=disabled, 1=enabled",-,1,RW,Uint16,Stop setting
P0C.46,0x200C,0x2F,CSP position command increment excessive threshold,1~7,-,3,RW,Uint16,
P0D.00,0x200D,0x01,Software reset,"0=no, 1=reset",-,0,RW,Uint16,Stop setting
P0D.01,0x200D,0x02,Fault reset,"0=no, 1=reset",-,0,RW,Uint16,
P0D.05,0x200D,0x06,Emergency shutdown,"0=no, 1=enable",-,0,RW,Uint16,
P0D.17,0x200D,0x12,DIDO forced input/output enable,"0=normal, 1=force DI on+DO off, 2=force DI on, 3=force DO on, 4=EtherCAT DO on+force DI off",-,0,RW,Uint16,
P0D.18,0x200D,0x13,DI forced input given,0~0x01FF,-,0x01FF,RW,Uint16,
P0D.19,0x200D,0x14,DO forces output given,0~0x001F,-,0,RW,Uint16,
P0D.20,0x200D,0x15,Absolute encoder reset enable,"0=no, 1=reset fault, 2=reset fault + multi-turn data",-,0,RW,Uint16,Stop setting
